Product Name,Product ID,Recommended Price,Category,Avg Competitor Price,Min Competitor Price,Max Competitor Price,Median Competitor Price,Std Competitor Price,Competitor Count,Profit Current,Profit Recommended,Profit Delta
Reiek Peak Wooden Sunglasses (Incl. cork casing),SG0001,43.49,Sunglasses,25.21,1.00,79.99,20.99,17.77,154,1176.93,1000.79,-176.14
Fibonacci Wooden Sunglasses (Incl. cork casing),SG0002,45.99,Sunglasses,25.21,1.00,79.99,20.99,17.77,154,1207.24,1038.88,-168.36
Elephant Falls Thermos Bottle,BT0005,40.49,Bottles,31.33,1.00,99.00,24.99,22.04,187,1166.64,1362.08,195.45
Saint Elias Thermos bottles,BT0012-13,40.49,Bottles,31.33,1.00,99.00,24.99,22.04,187,1146.27,1320.99,174.71
Inca Trail Coffee Mugs,BT0015-16,37.49,Coffee mugs,28.98,1.00,87.98,24.99,19.90,197,1101.67,1225.33,123.66
Woodland Mouse Phone Stand,PS0007,24.49,Phone accessories,27.07,1.00,90.00,21.99,20.31,183,964.92,1138.39,173.46
Tiger Trail Notebooks,NB0011-12,24.99,Notebook,19.53,1.00,73.00,12.99,15.97,166,796.27,776.44,-19.83
Papillon Notebooks,NB0013-15,24.99,Notebook,19.53,1.00,73.00,12.99,15.97,166,822.95,843.85,20.90
Jim Corbett Lunchbox Band 1200ML,LB0017,42.49,Lunchbox,39.74,25.99,54.99,38.99,11.90,4,750.57,1105.78,355.21
Jim Corbett Lunchbox Band 800ML,LB0019,39.99,Lunchbox,39.74,25.99,54.99,38.99,11.90,4,1341.89,1613.90,272.02
Timeless Silk Colored Stole,SH0017-26,55.49,Other scarves and shawls,27.29,1.00,79.99,24.00,18.80,296,800.15,478.82,-321.33
Silk Uncut White Stole,SH0025,85.99,Other scarves and shawls,33.78,1.00,90.00,29.99,22.53,168,1515.54,1279.94,-235.60
